Year,Month,Species,Type,Pounds,Trips,Value,Dealers,Season
2002,1,BC,H,51659.5,261,47924.16281,23,1
2002,1,SC,C,47768.16,436,309218.111,31,1
2002,2,BC,H,47594.1,257,43626.44,24,1
2002,2,SC,C,26193.58,322,173014.72,28,1
2002,3,BC,H,69398.5,331,70549.41208,27,1
2002,3,SC,C,31249.29,330,201308.52,24,1
2002,4,BC,H,73105.4,379,78542.95849,31,2
2002,4,BC,S,85.5,4,711.36,1,2
2002,4,SC,C,12082.02,223,78735.955,21,2
2002,5,BC,H,63934.9,420,69806.53,31,2
2002,5,BC,S,165.25,8,1309.58,1,2
2002,5,SC,C,6517.34,112,43509.38723,16,2
2002,6,BC,H,53837.4,370,58586.18,29,2
2002,6,BC,S,29.25,5,51.52078018,1,2
2002,7,BC,H,44673.5,285,49897.605,24,3
2002,8,BC,H,33566.9,247,35864.44,23,3
2002,9,BC,H,34210,217,37579.35,21,3
2002,10,BC,H,32919.38,210,34370.09047,23,4
2002,10,BC,S,60,4,360,1,4
2002,10,SC,C,50667.35,472,407593.9047,34,4
2002,11,BC,H,29001.53,182,30889.08027,25,4
2002,11,BC,S,75,5,450,1,4
2002,11,SC,C,82048.34,707,695739.7246,36,4
2002,12,BC,H,23998.64,147,23197.975,23,4
2002,12,BC,S,390,4,358.8,1,4
2002,12,SC,C,95410.15,656,757679.47,36,4
2003,1,BC,H,28117.27,197,28137.3,25,1
2003,1,SC,C,52818.3,502,412545.6525,34,1
2003,2,BC,H,38552.85,252,43526.9325,29,1
2003,2,BC,S,15,1,90,1,1
2003,2,SC,C,36461.61,409,293949.3308,30,1
2003,3,BC,H,58709.4,343,61413.418,28,1
2003,3,BC,S,57,4,378,2,1
2003,3,SC,C,21886,354,184348.9445,30,1
2003,4,BC,H,59691.96,350,62233.89468,30,2
2003,4,BC,S,57,4,342,1,2
2003,4,SC,C,22272.65,353,193423.885,27,2
2003,5,BC,H,76219.53,419,87638.1375,32,2
2003,5,BC,S,90,5,540,1,2
2003,5,SC,C,6319.76,138,56566.20945,22,2
2003,6,BC,H,69290.75,363,75454.78776,29,2
2003,6,BC,S,90,4,540,1,2
2003,7,BC,H,70626.19,354,77815.08572,29,3
2003,7,BC,S,45,4,270,1,3
2003,8,BC,H,77226.75,378,83179.86477,30,3
2003,8,BC,S,36,3,216,1,3
2003,9,BC,H,68552.94,344,75493.19686,29,3
2003,9,BC,S,120,5,756,2,3
2003,10,BC,H,74841.59,387,81264.18961,33,4
2003,10,BC,S,33,2,198,1,4
2003,10,SC,C,36879.34,392,330472.4454,34,4
2003,11,BC,H,58475.23,321,63234.74137,28,4
2003,11,SC,C,51672.35,533,491168.845,34,4
2003,12,BC,H,44644.21,246,46754.72202,26,4
2003,12,SC,C,35169.96,426,331663.8025,34,4
2004,1,BC,H,58796.35,302,58218.99474,30,1
2004,1,SC,C,20707.88,317,188885.7957,31,1
2004,2,BC,H,64512.435,320,65540.45225,31,1
2004,2,SC,C,30551.01,388,289183.9469,32,1
2004,3,BC,H,85314.92,397,91926.30624,29,1
2004,3,BC,S,221.25,25,673.75,3,1
2004,3,SC,C,15693.54,291,150657.0612,28,1
2004,4,BC,H,77807.63,355,86519.96578,31,2
2004,4,BC,S,126,4,756,1,2
2004,4,SC,C,13252.81,259,130827.7938,26,2
2004,5,BC,H,62053.485,385,68124.56262,28,2
2004,5,BC,S,99,4,594,1,2
