Month,Year,DlogLTB,DlogMTB,DlogOTB,DlogBoth
8,2002,0.27311832,NA,NA,0.29077622
9,2002,1.268934463,NA,NA,0.981645856
10,2002,0.948903061,NA,NA,0.643013372
11,2002,0.819578742,NA,NA,0.948027697
12,2002,0,0,0.284793156,0
1,2003,0,0,0,0
2,2003,0,0,0,0
3,2003,0.718721285,0,0.367339028,0.669268799
4,2003,1.162811697,0.753659243,0.734678056,1.186797184
5,2003,0.071596679,0.32091959,0.084992821,0.069933341
6,2003,0,0,0.226950042,0
7,2003,0.089572678,0,0.677262364,0.042289248
8,2003,0.151150846,0.04799648,0.677262364,0.160923191
9,2003,0,-0.065365829,0.677262364,0.833947999
10,2003,0.358071866,0.06243315,0.357442968,0.319391408
11,2003,0.580379913,0.169329008,0.273083017,0.612116226
12,2003,0.42290959,-0.157708343,0.284793156,0.485146676
1,2004,0,0,0,0
2,2004,0,0,0,0
3,2004,0.134205068,0,0,0.074802378
4,2004,0,0,0,0
5,2004,0.138806048,0.451503958,0.152348038,0.262101947
6,2004,0.246379638,0.126410062,0.087796261,0.200813962
7,2004,0,0,0,0
8,2004,0,0,0,0
9,2004,0,0,0,0
10,2004,0.036534579,0.007603371,0.113701454,0.015845931
11,2004,0.013533804,0.017238371,0.171342152,0.004593446
12,2004,0.02284781,0.006568151,0.185931015,0.021173837
1,2005,2.58416834,0.095335648,0.66796477,3.035136123
2,2005,2.768751793,0.100356522,0.66796477,3.251931561
3,2005,1.997243982,0,0.664899544,2.274402727
4,2005,0.963546773,0.839035836,0.661834318,1.149404795
5,2005,0.282621367,0.474811035,0.284744636,0.276055491
6,2005,0.07357405,0.304425764,0.473425308,0.195301332
7,2005,0,0,0,0
8,2005,0,0,0,0
9,2005,0,0,0,0
10,2005,0,0,0,0
11,2005,0,0,0,0
12,2005,0,NA,0,0
1,2006,0,NA,NA,0
2,2006,0,NA,NA,0
3,2006,0.127109952,NA,NA,0.072305233
4,2006,0,NA,NA,0
5,2006,0.134835882,NA,NA,0.138647897
6,2006,0,NA,NA,0
7,2006,0,NA,NA,0
8,2006,0.238413915,NA,NA,0.253828073
9,2006,0,NA,NA,0
10,2006,0,NA,NA,0
11,2006,0,NA,NA,0
12,2006,0,NA,NA,0
1,2007,0,NA,NA,0
2,2007,0,NA,NA,0
3,2007,0.203748066,NA,NA,0.154587529
4,2007,0.161245723,NA,NA,0.167423225
5,2007,0.170440345,NA,NA,0.173598545
6,2007,0,NA,NA,0
7,2007,0.273814135,NA,NA,0.258547454
8,2007,0.143048349,NA,NA,0.152296844
9,2007,0.232137105,NA,NA,0.179580927
10,2007,0,NA,NA,0
11,2007,0,NA,NA,0
12,2007,0.211454795,NA,NA,0.242573338
1,2008,0,NA,NA,0
2,2008,0,NA,NA,0
3,2008,0.395094399,NA,NA,0.360503405
4,2008,0.560923838,NA,NA,0.58241345
5,2008,0.180258617,NA,NA,0.176070838
6,2008,0.265973735,NA,NA,0.295063062
7,2008,0.311862977,NA,NA,0.294474859
8,2008,0.658679531,NA,NA,0.701265093
9,2008,0.759380918,NA,NA,0.587455974
10,2008,0.378711825,NA,NA,0.258706199
11,2008,0.15165342,NA,NA,0.17542139
12,2008,0.054123552,NA,NA,0.062088593
1,2009,0,NA,NA,0
2,2009,0,NA,NA,0
3,2009,0.106139757,NA,NA,0.067717443
4,2009,0,NA,NA,0
5,2009,0.148353129,NA,NA,0.14490658
6,2009,0.339785692,NA,NA,0.376947771
7,2009,0.500506638,NA,NA,0.472600572
8,2009,0.05721934,NA,NA,0.060918738
9,2009,0,NA,NA,0
10,2009,0.09617035,NA,NA,0.065696036
11,2009,0,NA,NA,0
12,2009,0.297785346,NA,NA,0.341608642
1,2010,0,NA,NA,0
2,2010,0,NA,NA,0
3,2010,0.092929144,NA,NA,0.062578543
4,2010,0,NA,NA,0
5,2010,0,NA,NA,0
6,2010,0.023210029,NA,NA,0.02574849
7,2010,0.149068944,NA,NA,0.14075751
8,2010,0,NA,NA,0
9,2010,0,NA,NA,0
10,2010,0.07693628,NA,NA,0.052556829
11,2010,0,NA,NA,0
12,2010,0,NA,NA,0
1,2011,0,NA,NA,0
2,2011,0,NA,NA,0
3,2011,0.079718531,NA,NA,0.057439643
4,2011,0,NA,NA,0
5,2011,0.068148492,NA,NA,0.066565262
6,2011,0.092840114,NA,NA,0.10299396
7,2011,0,NA,NA,0
8,2011,0,NA,NA,0
9,2011,0,NA,NA,0
10,2011,0.277094226,NA,NA,0.18928903
11,2011,0.063131751,NA,NA,0.073026111
12,2011,0,NA,NA,0
1,2012,0,NA,NA,0
2,2012,0,NA,NA,0
3,2012,0.19399969,NA,NA,0.176235935
4,2012,0.234102786,NA,NA,0.243071522
5,2012,0.218885702,NA,NA,0.213800536
6,2012,0,NA,NA,0
7,2012,0,NA,NA,0
8,2012,0.095365566,NA,NA,0.101531229
9,2012,0,NA,NA,0
10,2012,0,NA,NA,0
11,2012,0.1194951,NA,NA,0.13822304
12,2012,0.0857838,NA,NA,0.098408091
1,2013,0,NA,NA,0
2,2013,0,NA,NA,0
3,2013,0.074178062,0,NA,0.051960705
4,2013,0,0,NA,0
5,2013,0.21279014,0.193164822,NA,0.187054585
6,2013,0.243841426,0.196732296,NA,0.235093403
7,2013,0.034651442,0,NA,0.016359714
8,2013,0.143048349,0.027127983,NA,0.152296844
9,2013,0,-0.04461912,NA,0.56925807
10,2013,0.064113567,0,NA,0.021898679
11,2013,0.0398317,0,NA,0.023037173
12,2013,0,0,NA,0
1,2014,0,0,NA,0
2,2014,0,0,NA,0
3,2014,0.073159909,0,NA,0.051010011
