reference,sampling_date,latitude,longitude,gr,stratum,effort,cf,scientificname,TotalCount,Year,Month,MonYr,Quarter,Bay
TBM2002010104,1/7/2002,27.620317,-82.565217,19,S,1.4,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002010105,1/7/2002,27.6167,-82.565517,160,D,41.2,1,Callinectes sapidus,3,2002,1,1/2002,1,MTB
TBM2002010204,1/16/2002,27.866383,-82.4249,20,B,1.4,1,Callinectes sapidus,2,2002,1,1/2002,1,HB
TBM2002010305,1/8/2002,27.6484,-82.706283,170,.,22.09,1,Callinectes sapidus,1,2002,1,1/2002,1,LTB
TBM2002010601,1/10/2002,27.525783,-82.482683,23,C,0.68,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002010602,1/10/2002,27.527567,-82.480633,23,D,0.68,1,Callinectes sapidus,7,2002,1,1/2002,1,MTB
TBM2002010603,1/10/2002,27.526933,-82.481767,300,.,6.67,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002010604,1/10/2002,27.524067,-82.507633,300,.,7.41,1,Callinectes sapidus,7,2002,1,1/2002,1,MTB
TBM2002010605,1/10/2002,27.52445,-82.5126,23,C,0.68,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002010606,1/10/2002,27.518517,-82.516467,23,D,0.68,1,Callinectes sapidus,20,2002,1,1/2002,1,MTB
TBM2002010607,1/10/2002,27.5127,-82.530883,300,.,7.41,1,Callinectes sapidus,3,2002,1,1/2002,1,MTB
TBM2002010608,1/10/2002,27.507383,-82.51945,23,D,0.68,1,Callinectes sapidus,7,2002,1,1/2002,1,MTB
TBM2002010610,1/10/2002,27.475133,-82.493383,23,C,0.68,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002010612,1/10/2002,27.470983,-82.492317,300,.,5.93,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002010614,1/10/2002,27.487767,-82.505517,300,.,8.15,1,Callinectes sapidus,5,2002,1,1/2002,1,MTB
TBM2002010805,1/10/2002,27.645833,-82.739183,20,B,1.4,1,Callinectes sapidus,1,2002,1,1/2002,1,LTB
TBM2002011103,1/15/2002,27.940767,-82.459267,20,B,1.4,1,Callinectes sapidus,1,2002,1,1/2002,1,HB
TBM2002011203,1/18/2002,27.71445,-82.477017,300,.,6.67,1,Callinectes sapidus,2,2002,1,1/2002,1,MTB
TBM2002011205,1/18/2002,27.71445,-82.465417,300,.,7.41,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002011211,1/18/2002,27.67185,-82.41935,300,.,6.67,1,Callinectes sapidus,1,2002,1,1/2002,1,MTB
TBM2002011212,1/18/2002,27.667517,-82.430133,300,.,6.67,1,Callinectes sapidus,2,2002,1,1/2002,1,MTB
TBM2002011213,1/18/2002,27.665867,-82.433833,300,.,7.41,1,Callinectes sapidus,4,2002,1,1/2002,1,MTB
TBM2002012107,1/14/2002,27.861517,-82.382083,23,D,0.68,1,Callinectes sapidus,2,2002,1,1/2002,1,HB
TBM2002012108,1/14/2002,27.856233,-82.379817,23,D,0.68,1,Callinectes sapidus,2,2002,1,1/2002,1,HB
TBM2002012113,1/14/2002,27.85615,-82.353583,23,C,0.68,1,Callinectes sapidus,4,2002,1,1/2002,1,HB
TBM2002014507,1/4/2002,27.858283,-82.345433,300,.,7.41,1,Callinectes sapidus,6,2002,1,1/2002,1,HB
TBM2002014508,1/4/2002,27.8577,-82.35485,300,.,6.67,1,Callinectes sapidus,7,2002,1,1/2002,1,HB
TBM2002020206,2/1/2002,28.003117,-82.664417,160,C,41.2,1,Callinectes sapidus,6,2002,2,2/2002,1,OTB
TBM2002020207,2/1/2002,28.006333,-82.6484,20,B,1.4,1,Callinectes sapidus,3,2002,2,2/2002,1,OTB
TBM2002020403,2/14/2002,27.80775,-82.598833,20,A,1.4,1,Callinectes sapidus,2,2002,2,2/2002,1,MTB
TBM2002020501,2/15/2002,27.504117,-82.531967,300,.,7.41,1,Callinectes sapidus,3,2002,2,2/2002,1,MTB
TBM2002020502,2/15/2002,27.518483,-82.4843,300,.,6.67,1,Callinectes sapidus,4,2002,2,2/2002,1,MTB
TBM2002020508,2/15/2002,27.507883,-82.511683,23,C,0.68,1,Callinectes sapidus,1,2002,2,2/2002,1,MTB
