"Year","Month","Season","Species","Total","CPUE"
2002,1,"1","BC",51659.5,197.929118773946
2002,2,"1","BC",47594.1,185.191050583658
2002,3,"1","BC",69398.5,209.663141993958
2002,4,"2","BC",73190.9,191.098955613577
2002,5,"2","BC",64100.15,149.766705607477
2002,6,"2","BC",53866.65,143.6444
2002,7,"3","BC",44673.5,156.749122807018
2002,8,"3","BC",33566.9,135.898380566802
2002,9,"3","BC",34210,157.649769585253
2002,10,"4","BC",32979.38,154.109252336449
2002,11,"4","BC",29076.53,155.489465240642
2002,12,"4","BC",24388.64,161.51417218543
2003,1,"1","BC",28117.27,142.727258883249
2003,2,"1","BC",38567.85,152.44209486166
2003,3,"1","BC",58766.4,169.355619596542
2003,4,"2","BC",59748.96,168.782372881356
2003,5,"2","BC",76309.53,179.975306603774
2003,6,"2","BC",69380.75,189.048365122616
2003,7,"3","BC",70671.19,197.405558659218
2003,8,"3","BC",77262.75,202.78937007874
2003,9,"3","BC",68672.94,196.770601719198
2003,10,"4","BC",74874.59,192.479665809769
2003,11,"4","BC",58475.23,182.165825545171
2003,12,"4","BC",44644.21,181.480528455285
2004,1,"1","BC",58796.35,194.689900662252
2004,2,"1","BC",64512.435,201.601359375
2004,3,"1","BC",85536.17,202.692345971564
2004,4,"2","BC",77933.63,217.085320334262
2004,5,"2","BC",62152.485,159.775025706941
2004,6,"2","BC",71275,186.583769633508
2004,7,"3","BC",71560,168.77358490566
2004,8,"3","BC",82073.5,207.256313131313
2004,9,"3","BC",62999.62,190.331178247734
2004,10,"4","BC",66697.72,181.243804347826
2004,11,"4","BC",45300.57,161.78775
2004,12,"4","BC",33727.31,159.09108490566
2005,1,"1","BC",41804.57,150.376151079137
2005,2,"1","BC",49818.07,161.223527508091
2005,3,"1","BC",71973.35,215.489071856287
2005,4,"2","BC",87998.12,215.154327628362
2005,5,"2","BC",85980.14,197.655494252874
2005,6,"2","BC",73865.03,189.884395886889
2005,7,"3","BC",79177.22,202.499283887468
2005,8,"3","BC",94260.35,204.469305856833
2005,9,"3","BC",104668.03,213.608224489796
2005,10,"4","BC",91153,204.378923766816
2005,11,"4","BC",63507.06,186.785470588235
2005,12,"4","BC",63742.24,187.477176470588
2006,1,"1","BC",68666.56,189.164077134986
2006,2,"1","BC",76367.78,204.19192513369
2006,3,"1","BC",103948.35,202.628362573099
2006,4,"2","BC",105398.66,207.477677165354
2006,5,"2","BC",111629.19,214.259481765835
2006,6,"2","BC",101129.7,229.840227272727
2006,7,"3","BC",86148.7,214.834663341646
2006,8,"3","BC",91047.43,197.499848156182
2006,9,"3","BC",86907.6,206.922857142857
2006,10,"4","BC",82088.75,194.523104265403
2006,11,"4","BC",63092,186.662721893491
2006,12,"4","BC",62275.9,186.454790419162
2007,1,"1","BC",75439,207.820936639118
2007,2,"1","BC",69959.1,211.997272727273
2007,3,"1","BC",64843.8,194.726126126126
2007,4,"2","BC",64963.17,196.26335347432
2007,5,"2","BC",67006.83,179.162647058824
2007,6,"2","BC",75364.15,179.866706443914
2007,7,"3","BC",61702.47,153.871496259352
2007,8,"3","BC",50172.01,155.813695652174
2007,9,"3","BC",34731.79,145.32129707113
2007,10,"4","BC",41844.12,157.902339622642
2007,11,"4","BC",32455.56,138.108765957447
2007,12,"4","BC",28361.9,127.183408071749
2008,1,"1","BC",21377.3,99.8939252336449
2008,2,"1","BC",30663.31,112.732757352941
2008,3,"1","BC",40741.84,141.957630662021
2008,4,"2","BC",33337.28,106.850256410256
2008,5,"2","BC",29840.5,109.305860805861
2008,6,"2","BC",25929.6,104.134939759036
2008,7,"3","BC",23202.1,106.431651376147
2008,8,"3","BC",15546.6,84.0356756756757
2008,9,"3","BC",12162.7,75.5447204968944
2008,10,"4","BC",13186.4,82.415
2008,11,"4","BC",9877.2,93.1811320754717
2008,12,"4","BC",15177.44,124.405245901639
2009,1,"1","BC",25258,135.795698924731
2009,2,"1","BC",28263.15,145.686340206186
2009,3,"1","BC",38125.12,136.64917562724
2009,4,"2","BC",43544.6,136.932704402516
2009,5,"2","BC",38864.48,125.369290322581
2009,6,"2","BC",23186.2,109.368867924528
2009,7,"3","BC",18440.4,106.591907514451
2009,8,"3","BC",11409.8,83.2832116788321
2009,9,"3","BC",12529,108.008620689655
2009,10,"4","BC",13966,109.109375
2009,11,"4","BC",14339.82,104.670218978102
2009,12,"4","BC",9521.2,99.1791666666667
2010,1,"1","BC",13565.63,108.52504
2010,2,"1","BC",31384.25,122.5947265625
2010,3,"1","BC",42754.46,146.419383561644
2010,4,"2","BC",73444.95,173.219221698113
2010,5,"2","BC",95232.11,186.72962745098
2010,6,"2","BC",70075.67,176.513022670025
2010,7,"3","BC",77887.4,174.635426008969
2010,8,"3","BC",64053.4,163.401530612245
2010,9,"3","BC",53747.41,146.850846994536
2010,10,"4","BC",52929.71,157.528898809524
2010,11,"4","BC",51169.86,168.877425742574
2010,12,"4","BC",35734.67,164.675898617512
2011,1,"1","BC",61104.01,193.367120253165
2011,2,"1","BC",59417.85,162.788630136986
2011,3,"1","BC",63324.28,154.073673965937
2011,4,"2","BC",65625.44,158.899370460048
2011,5,"2","BC",64137.87,159.151042183623
2011,6,"2","BC",60229,164.111716621253
2011,7,"3","BC",47901.3,172.306834532374
2011,8,"3","BC",55677.67,149.671155913978
2011,9,"3","BC",46915.35,135.593497109827
2011,10,"4","BC",31314.12,112.236989247312
2011,11,"4","BC",23791.04,98.3100826446281
2011,12,"4","BC",17159.65,81.325355450237
2012,1,"1","BC",25285.91,101.959314516129
2012,2,"1","BC",50148.39,133.72904
2012,3,"1","BC",66301.6,143.2
2012,4,"2","BC",62492.29,144.658078703704
2012,5,"2","BC",78983.3,152.183622350674
2012,6,"2","BC",67917.08,162.870695443645
2012,7,"3","BC",57673.02,136.665924170616
2012,8,"3","BC",28158.76,96.7654982817869
2012,9,"3","BC",20811.61,97.2505140186916
2012,10,"4","BC",14409.11,96.0607333333333
2012,11,"4","BC",11347.85,105.072685185185
2012,12,"4","BC",13908.72,101.523503649635
2013,1,"1","BC",27653.21,103.959436090226
