"Month","Year","MonYr","T_mean","T_min","T_max","S_mean","S_min","S_max"
1,2002,"1/2002",17.0062897993137,17.0062897993137,17.0062897993137,28.5181088546078,28.5181088546078,28.5181088546078
1,2003,"1/2003",14.7661370961958,12.2,17.7,24.5021448309845,21.4107241549223,26.1
1,2004,"1/2004",16.4001943391194,15.6,17.300971695597,30.2817658338806,26.408829169403,31.6
1,2005,"1/2005",16.1282430235806,15.2,16.9,29.9973714350732,25.0868571753659,32.1
1,2006,"1/2006",17.5812931441489,15.5,19.3,31.370855436129,27.2542771806452,33.1
1,2007,"1/2007",19.9817009986142,19.54,20.5951029958427,30.3195411524444,26.5786234573333,32.55
1,2008,"1/2008",16.4686373873311,16.1,17,34.7810011415411,31.6240045661644,36.1
1,2009,"1/2009",14.0708965419286,12,17.3835861677143,35.5641868823113,31.8567475292453,37
1,2010,"1/2010",10.9916981131509,10,12.9667924526038,31.6415277778333,27.9661111113333,33
1,2011,"1/2011",11.8281803096681,10.5,15.3127212386726,31.6336283482366,28.5345133929464,33.2
1,2012,"1/2012",17.6012180190461,17.3,18,29.8193885282143,26.9775541128571,31.2
1,2013,"1/2013",21.1007065217029,18.5028260868116,22.4,32.0552928744203,26.5211714976812,34.5
1,2014,"1/2014",16.9965040321774,16.2860161287097,17.6,30.1053306879762,25.7213227519048,32.5
1,2015,"1/2015",17.4480824372312,17,18.3923297489247,30.3327659574468,26.1310638297872,32.9
1,2016,"1/2016",14.0678742938983,12.9,17.1714971755932,25.1012083334583,19.3,28.6
1,2017,"1/2017",20.0269437134211,19.2808311402632,20.5,31.8359649122368,28.6078947367105,33.7
2,2002,"2/2002",18.700477355,18.700477355,18.700477355,29.0010300204348,29.0010300204348,29.0010300204348
2,2003,"2/2003",18.067569440365,18.067569440365,18.067569440365,25.0218861456452,25.0218861456452,25.0218861456452
2,2004,"2/2004",16.0762485541515,15.1,17.7287456624545,29.2739680944444,26.0219042833333,31.8
2,2005,"2/2005",17.933262521838,17.4,18.5,29.9168715197222,27.0506145591667,31.7
2,2006,"2/2006",14.2969406261512,12.8,17.1908218784536,30.2403375771528,25.9210127314583,32.5
2,2007,"2/2007",17.616456496164,17.2593694884921,17.81,29.8445370370899,29.4336111112698,30.1
2,2008,"2/2008",20.2245940171703,19.7983760686813,20.69,31.6263156286813,30.3652625147253,32.52
2,2009,"2/2009",17.0222119564348,16.31,17.53,33.0060247584348,31.2440990337391,33.99
2,2010,"2/2010",12.6663425926111,11.6,15.0653703704444,30.31425925925,27.557037037,32.7
2,2011,"2/2011",17.0902280221154,16.4,17.6609120884615,30.8980190217935,27.1920760871739,32.2
2,2012,"2/2012",20.547881797363,19.3915271894521,21.2,30.9693941470205,28.1775765880822,32.3
2,2013,"2/2013",19.6432238247436,19.2728952989744,20,32.8115277776923,27.5461111107692,35
2,2014,"2/2014",18.7438176405519,18.1752705622078,19.3,30.3927624459091,26.9710497836364,32.1
2,2015,"2/2015",13.8740340908333,12.4,17.0961363633333,28.9357007576402,24.1428030305606,32
2,2016,"2/2016",16.8126162792151,16.2,17.1504651168605,29.2534132751453,24.6136531005814,31.2
2,2017,"2/2017",20.6020349794444,20.4081399177778,20.9,31.0335411524383,26.4341646097531,33.5
3,2002,"3/2002",19.518048048018,19.518048048018,19.518048048018,29.5207912339091,29.5207912339091,29.5207912339091
3,2003,"3/2003",23.2268294964725,22.7804884894175,23.5,25.6922006056908,21.9844012113816,29.4
3,2004,"3/2004",20.5936691646261,19.7683458231304,21.4,28.599227965931,25.1961398296552,29.8
3,2005,"3/2005",19.9577655722237,17.4,21.7,31.1584587841176,27.5922939205882,32.2
3,2006,"3/2006",18.9638298245684,18.2,20.2191491228421,32.9524050926042,28.7620254630208,35
3,2007,"3/2007",20.2976958690598,19.73,20.65,30.008101851859,29.2224074074359,31.32
3,2008,"3/2008",20.66110347225,19.744413889,21.2,32.494012963,30.376051852,34.4
3,2009,"3/2009",22.6221069959074,19.9684279836296,23.86,32.8303328190185,32.4513312760741,33.02
3,2010,"3/2010",17.2000483630804,16.3001934523214,17.8,30.8425147492035,29.0700589968142,32
3,2011,"3/2011",20.8316176471471,20.6,21,32.1089147286919,28.2356589147674,34
3,2012,"3/2012",24.5690404040152,23.6761616160606,25.9,31.8279192309615,29.0116769238462,33.5
3,2013,"3/2013",17.5829600000333,17,18.1318400001333,33.9498048245066,28.7992192980263,35.8
3,2014,"3/2014",21.2096649775338,20.5,21.7,30.9499442488028,26.3997769952113,33.3
3,2015,"3/2015",23.5101493054861,22.2405972219444,24.2,30.1570358796528,23.8281435186111,33.1
3,2016,"3/2016",23.4918390409589,21.1673561638356,24.6,29.6144155252397,24.0576621009589,32.3
3,2017,"3/2017",20.2065432099691,20,20.6261728398765,32.4267854166875,29.10714166675,33.8
4,2002,"4/2002",25.0174478627551,25.0174478627551,25.0174478627551,29.8432637778571,29.8432637778571,29.8432637778571
4,2003,"4/2003",24.2446458790343,24.0339376371028,24.4,28.3331442476923,23.6994327430769,30.9
4,2004,"4/2004",22.1025212954397,21.9,22.307563886319,29.6689140048354,27.7067420145062,30.9
4,2005,"4/2005",21.7288520966667,21.6,21.88655629,29.5545058176235,25.5635174528704,31.9
4,2006,"4/2006",26.5815905696078,24.6447717088235,27.6,33.1318805815888,29.6956417447664,35
4,2007,"4/2007",22.6332947659504,22.6332947659504,22.6332947659504,29.9349555555,29.9349555555,29.9349555555
4,2008,"4/2008",22.994170833325,22.59,23.27,34.197281666725,29.7891266669,36.01
4,2009,"4/2009",22.977272196285,22.6890887851402,23.23,33.2595345911321,33.0281383645283,33.67
4,2010,"4/2010",23.6704277777333,22.7817111109333,24.2,29.2628059209211,24.8512236836842,32.2
4,2011,"4/2011",25.7568796143182,25.3,26.5,31.4132664482207,26.7530657928829,33.7
4,2012,"4/2012",24.821092054157,24.6,25,32.1110996168966,29.9,34.3
4,2013,"4/2013",23.2559356398884,22.8,23.9237425595536,33.684393601317,29.0375744052679,35.8
4,2014,"4/2014",24.7783345960227,22.5133383840909,26,31.8411780301894,25.9647121207576,34.1
4,2015,"4/2015",27.1212526041563,26.085010416625,27.5,30.7903854165938,25.261541666375,33.5
4,2016,"4/2016",23.4395108696196,23,23.9580434784783,30.9090138133424,27.6360552533696,32.7
4,2017,"4/2017",24.2312987013312,23.3251948053247,24.8,32.1716590447256,29.4866361789024,33.9
5,2002,"5/2002",27.889200878,27.889200878,27.889200878,30.8606388045714,30.8606388045714,30.8606388045714
5,2003,"5/2003",28.9635895171245,28.4907685513736,29.2,28.8980574482684,26.2941723448052,30.3
5,2004,"5/2004",25.2944812596162,25.1,25.4834437788485,29.0632901694479,28.3265803388957,29.8
5,2005,"5/2005",25.212544177971,25,25.337632533913,29.618336102518,26.655008307554,31.4
5,2006,"5/2006",26.157687075102,26.157687075102,26.157687075102,30.6261700680612,30.6261700680612,30.6261700680612
5,2007,"5/2007",25.405985583932,25.0639423357282,25.73,33.7018202242892,31.8472808971569,34.77
5,2008,"5/2008",26.66012733334,26.31050933336,26.95,34.8399590053427,31.799836021371,36.04
5,2009,"5/2009",27.689608333325,27.38,28.12,34.578687500075,33.6147500003,35.35
5,2010,"5/2010",26.9141190475476,26.4,27.8564761901905,31.2018003144811,26.0072012579245,34.2
5,2011,"5/2011",27.6667517920968,27.2670071683871,28,32.0027105495745,27.6108421982979,34
5,2012,"5/2012",27.5971298209091,27.0885192836364,28.4,34.1167639760057,31.167055904023,35.6
5,2013,"5/2013",25.541802805198,24.8,26.5672112207921,32.485325907599,29.841303630396,34.2
5,2014,"5/2014",25.4922703489535,24.9,26.269081395814,31.0678637255588,26.2714549022353,33.9
5,2015,"5/2015",28.8873220485677,27.7492881942708,29.6,33.2868815789474,27.3475263157895,36.3
5,2016,"5/2016",27.956054459057,26.8242178362281,28.5,32.2988961988377,28.0955847953509,34.5
5,2017,"5/2017",27.0571133406701,26.7,27.5,34.6730369416237,30.8921477664948,36.1
6,2002,"6/2002",28.7093861470588,28.7093861470588,28.7093861470588,31.910065572042,31.910065572042,31.910065572042
6,2003,"6/2003",29.6855062104505,28.9565186313514,30.1,29.7766383352292,23.3299150056875,33
6,2004,"6/2004",30.5354994193642,30,32,30.904110972053,29.008221944106,32.8
6,2005,"6/2005",27.4708956106824,26.7,28.9126868320472,29.4385477835677,25.7156433507031,31.4
6,2006,"6/2006",28.8260341463089,27.9,30.1,34.0464355013984,31.2321775069919,35.3
6,2007,"6/2007",29.239907747156,28.3797232414679,29.81,33.4259924241515,30.5579772724545,34.98
6,2008,"6/2008",28.9834913685451,28.6,29.3639654741803,34.4040875215854,31.4663500863415,36.01
6,2009,"6/2009",30.6378848628066,30.0515394512264,31,34.9725452741667,31.2901810966667,36.3
6,2010,"6/2010",29.9238278388736,29.3,30.9953113554945,32.0180694445278,27.4722777781111,34.4
6,2011,"6/2011",29.7159378055914,29.3,30,33.7838298306183,29.1353193224731,35.7
6,2012,"6/2012",28.2828637276807,28.1,28.5,32.1930933111281,28.5723732445122,34.4
6,2013,"6/2013",31.0934603657927,29.5738414631707,31.8,32.5369842478963,27.7479369915854,34.6
6,2014,"6/2014",30.2256168831493,29.2024675325974,31.1,31.7867207792208,27.3468831168831,34
6,2015,"6/2015",30.6857306910671,29.7429227642683,31.3,33.8783262195427,26.5133048781707,37.1
6,2016,"6/2016",28.7715123456019,28.2,29.8860493824074,29.8819918224533,26.7279672898131,31.9
6,2017,"6/2017",28.0940451876761,27.6,28.9761807507042,32.3207300470423,29.682920188169,34
7,2002,"7/2002",29.4634183060684,29.4634183060684,29.4634183060684,29.8424338400847,29.8424338400847,29.8424338400847
7,2003,"7/2003",30.3974662425172,29.2,31.8,24.5791856469733,20.8959282348667,26.4
7,2004,"7/2004",27.8858160282369,27.6574480847107,28,29.9593618484344,27.6780855453033,31.4
7,2005,"7/2005",30.2261082251169,29.5,30.8,27.6248181817922,23.124090908961,29.6
7,2006,"7/2006",30.3852748384392,30.2,30.6,33.0790827546094,30.1372482638281,34.7
7,2007,"7/2007",30.4788077138851,30.25,31.0352308555405,33.0567472221333,31.5369888885333,33.97
7,2008,"7/2008",30.632965201511,29.831860806044,31,32.8603430851064,30.1413723404255,34.2
7,2009,"7/2009",30.7251621731373,30.400648692549,31,32.0625894608333,27.6503578433333,34.3
7,2010,"7/2010",30.6180986589655,29.8723946358621,31.1,31.4411398467816,25.3645593871264,33.9
7,2011,"7/2011",30.1673112905422,29.7,30.4,33.9675899621726,28.4703598486905,36.6
7,2012,"7/2012",29.8439087925984,29.5,30.2,29.1960190288976,26.8840761155906,30.5
7,2013,"7/2013",28.6047385057759,28.1,29.3189540231034,28.4119327650852,26.2477310603409,30
7,2014,"7/2014",31.5378192641234,30.4512770564935,32,33.0581006493182,27.0324025972727,35.2
