"Month","Year","MonYr","T_mean","T_min","T_max","S_mean","S_min","S_max"
1,2002,"1/2002",17.1915079365079,13.06,22.97,30.7196031746032,4.38,35.1
1,2003,"1/2003",14.6880337078652,12.2,26.9,24.3601834862385,15.1,32.6
1,2004,"1/2004",17.1347488584475,15,24.2,28.2516894977169,22.76,36.6
1,2005,"1/2005",16.2191729323308,11.63,21.56,27.8659398496241,22.07,32.98
1,2006,"1/2006",18.0826724137931,14.64,23.51,29.4286206896552,25.1,33.1
1,2007,"1/2007",20.5669523809524,19.54,25.63,29.4887619047619,24.41,33.4
1,2008,"1/2008",16.5189690721649,15,18.22,32.9923711340206,30.17,36.1
1,2009,"1/2009",16.1213953488372,11.39,20.21,33.198992248062,30.67,37
1,2010,"1/2010",13.2125490196078,7.8,21.31,29.1790849673203,3,33
1,2011,"1/2011",15.3373988439306,10.5,17.66,29.6307514450867,26.9,33.2
1,2012,"1/2012",17.2066666666667,15.3,22.38,29.6447435897436,25.48,33.28
1,2013,"1/2013",19.5598666666667,16.68,22.4,28.9809333333333,23.82,34.5
1,2014,"1/2014",15.1520987654321,14.15,17.6,29.2188271604938,25.05,32.63
1,2015,"1/2015",17.6403896103896,12.1,21.07,29.8363636363636,22.78,33.9
1,2016,"1/2016",16.2498412698413,12.9,19.15,27.6825396825397,19.3,32.37
1,2017,"1/2017",19.4948039215686,16.56,21.12,31.5364705882353,23.97,36.4
2,2002,"2/2002",18.5537068965517,17.29,20.5,31.1106034482759,22.25,34.9
2,2003,"2/2003",18.4342583732057,14.27,31.2,28.4920080321285,20.3,34.7
2,2004,"2/2004",17.8274626865672,15.1,21.41,28.5421393034826,23.11,32.55
2,2005,"2/2005",18.1767132867133,16,22.45,29.4257342657343,24.5,33.2
2,2006,"2/2006",17.3809649122807,12.8,20.07,28.0599122807018,20.8,33.1
2,2007,"2/2007",17.1605806451613,15,21.3,31.2512258064516,25.5,34.3
2,2008,"2/2008",19.6451086956522,17.11,22.78,32.3179347826087,28.71,35.77
2,2009,"2/2009",17.1175,14.14,22.55,32.2018918918919,29.52,35.06
2,2010,"2/2010",14.234427480916,11.6,17.67,29.7095454545455,25.83,36
2,2011,"2/2011",18.02775,15.48,21.9,28.91825,24.56,33.9
2,2012,"2/2012",19.8625555555556,16.74,21.79,30.2115555555556,26.7,35.9
2,2013,"2/2013",18.305,16.09,22.53,29.9227272727273,26.1,35
2,2014,"2/2014",18.3587254901961,16,22.88,28.5159803921569,23.74,32.85
2,2015,"2/2015",17.3042990654206,12.4,20.97,26.7593457943925,21.75,32.3
2,2016,"2/2016",16.5538541666667,15.2,18.85,27.3782291666667,22.06,31.48
2,2017,"2/2017",20.3182716049383,18.05,23.21,29.6276543209877,25.69,33.5
3,2002,"3/2002",19.5319594594595,15,25.15,31.4974324324324,7.81,35.3
3,2003,"3/2003",22.6314814814815,19.98,26.09,26.1759183673469,18.17,32.6
3,2004,"3/2004",19.5465591397849,17.11,21.4,28.1327419354839,24.1,33.4
3,2005,"3/2005",21.4355769230769,12.37,31.3,29.7174358974359,24,34.5
3,2006,"3/2006",20.4485833333333,17.14,23.3,31.5293442622951,19.6,37.6
3,2007,"3/2007",20.7519565217391,15.41,32.3,30.8255737704918,26.63,34.6
3,2008,"3/2008",19.7059375,17.15,23.47,31.80671875,27.14,35.75
3,2009,"3/2009",20.5695918367347,14.7,24.89,33.2105102040816,21.52,35.33
3,2010,"3/2010",16.6876158940397,14,19.13,31.1901986754967,24.25,34.9
3,2011,"3/2011",21.1172641509434,18.4,25,30.5544339622642,26.57,34.9
3,2012,"3/2012",23.9980952380952,22.44,25.9,30.824880952381,28.01,34.91
3,2013,"3/2013",18.6135454545455,16.87,20.7,30.859,27.03,35.8
3,2014,"3/2014",21.5574683544304,19.07,23.18,29.1118666666667,25.23,35.8
3,2015,"3/2015",22.9389333333333,18.27,25,27.4952,22.62,33.9
3,2016,"3/2016",21.9701298701299,18.14,26.03,27.9688311688312,23,33.11
3,2017,"3/2017",20.5632608695652,18.8,24.5,31.4071739130435,26.4,36.5
4,2002,"4/2002",25.3143089430894,22.4,27.9,31.7291056910569,27.06,35.8
4,2003,"4/2003",24.9035064935065,19.9,30.6,27.9084020618557,19.95,34.4
4,2004,"4/2004",23.4262781954887,19,31.1,29.7312096774194,24.15,35.3
4,2005,"4/2005",21.7884482758621,18.63,25.26,28.4704310344828,24.4,33.1
4,2006,"4/2006",25.3272058823529,21.63,28.72,31.010412371134,25.96,35
4,2007,"4/2007",22.5144785276074,19.62,26.12,31.3681097560976,26.87,35.1
4,2008,"4/2008",23.3226056338028,21.81,25.12,31.5080985915493,27.27,36.01
4,2009,"4/2009",23.3707594936709,20.27,25.43,33.6328481012658,22.4,35.7
4,2010,"4/2010",23.0816326530612,21.21,27.6,27.6385714285714,22.75,33.16
4,2011,"4/2011",25.1958787878788,22.2,32.3,28.7409696969697,19.19,34.8
4,2012,"4/2012",24.8915306122449,23.1,27.28,32.7721428571429,25.41,36.4
4,2013,"4/2013",24.1182857142857,20.64,26.1,31.0769285714286,22,35.8
4,2014,"4/2014",23.7658620689655,20,26.5,28.6947126436782,21.96,34.1
4,2015,"4/2015",26.1403389830508,22.46,27.64,28.8584745762712,23.76,34.76
4,2016,"4/2016",24.13064,22.2,27,30.03536,24.12,33.22
4,2017,"4/2017",23.5213924050633,22.08,25.89,31.8118072289157,28.7,38
5,2002,"5/2002",27.6015243902439,23,30.2,32.9076219512195,20.09,36.1
5,2003,"5/2003",28.0852765957447,15.5,30.9,28.8532363636364,16.07,34.1
5,2004,"5/2004",25.8861313868613,18.9,31.1,30.225859375,25.6,35.3
5,2005,"5/2005",25.2459868421053,22.66,28.13,29.1819736842105,24.63,33.7
5,2006,"5/2006",26.3770434782609,23.62,30,32.8004347826087,27.53,37.6
5,2007,"5/2007",25.1080291970803,22.8,26.56,33.0420437956204,29.5,36.48
5,2008,"5/2008",26.5800564971751,23,28.36,33.0076271186441,29.75,37.91
5,2009,"5/2009",27.2752845528455,25.36,29.1,34.8386178861789,32.86,36.9
5,2010,"5/2010",28.2807352941176,26,30.03,28.7555147058824,24.25,34.62
5,2011,"5/2011",27.5609821428571,26.26,29.57,29.9066071428571,25.55,35.4
5,2012,"5/2012",27.0511290322581,22.9,28.68,33.0121774193548,29.96,36.02
5,2013,"5/2013",26.4764556962025,22.1,29.93,31.6254838709677,24.23,35.8
5,2014,"5/2014",25.9587425149701,24.2,27.7,29.025748502994,25.06,33.9
5,2015,"5/2015",28.604,24.83,33.6,29.9887857142857,23.65,46.5
5,2016,"5/2016",26.9448314606742,24,29.6,30.8477653631285,23.51,34.5
5,2017,"5/2017",27.5858878504673,24.46,31.68,33.1877570093458,27.1,37.9
