"Year","Month","Bay","MonYr","Quarter","reference","Effort","Total"
"2002",1,"HB",Jan 2002,"1","TBM2002010204",1.4,2
"2002",1,"HB",Jan 2002,"1","TBM2002011103",1.4,1
"2002",1,"HB",Jan 2002,"1","TBM2002012107",0.68,2
"2002",1,"HB",Jan 2002,"1","TBM2002012108",0.68,2
"2002",1,"HB",Jan 2002,"1","TBM2002012113",0.68,4
"2002",1,"HB",Jan 2002,"1","TBM2002014507",7.41,6
"2002",1,"HB",Jan 2002,"1","TBM2002014508",6.67,7
"2002",1,"LTB",Jan 2002,"1","TBM2002010305",22.09,1
"2002",1,"LTB",Jan 2002,"1","TBM2002010805",1.4,1
"2002",1,"MTB",Jan 2002,"1","TBM2002010104",1.4,1
"2002",1,"MTB",Jan 2002,"1","TBM2002010105",41.2,3
"2002",1,"MTB",Jan 2002,"1","TBM2002010601",0.68,1
"2002",1,"MTB",Jan 2002,"1","TBM2002010602",0.68,7
"2002",1,"MTB",Jan 2002,"1","TBM2002010603",6.67,1
"2002",1,"MTB",Jan 2002,"1","TBM2002010604",7.41,7
"2002",1,"MTB",Jan 2002,"1","TBM2002010605",0.68,1
"2002",1,"MTB",Jan 2002,"1","TBM2002010606",0.68,20
"2002",1,"MTB",Jan 2002,"1","TBM2002010607",7.41,3
"2002",1,"MTB",Jan 2002,"1","TBM2002010608",0.68,7
"2002",1,"MTB",Jan 2002,"1","TBM2002010610",0.68,1
"2002",1,"MTB",Jan 2002,"1","TBM2002010612",5.93,1
"2002",1,"MTB",Jan 2002,"1","TBM2002010614",8.15,5
"2002",1,"MTB",Jan 2002,"1","TBM2002011203",6.67,2
"2002",1,"MTB",Jan 2002,"1","TBM2002011205",7.41,1
"2002",1,"MTB",Jan 2002,"1","TBM2002011211",6.67,1
"2002",1,"MTB",Jan 2002,"1","TBM2002011212",6.67,2
"2002",1,"MTB",Jan 2002,"1","TBM2002011213",7.41,4
"2002",1,"OTB",Jan 2002,"1",NA,0,0
"2002",2,"HB",Feb 2002,"1","TBM2002020605",22.09,1
"2002",2,"HB",Feb 2002,"1","TBM2002021106",1.4,1
"2002",2,"HB",Feb 2002,"1","TBM2002022108",0.68,4
"2002",2,"HB",Feb 2002,"1","TBM2002022114",7.41,4
"2002",2,"HB",Feb 2002,"1","TBM2002022119",0.68,2
"2002",2,"HB",Feb 2002,"1","TBM2002024501",7.41,3
"2002",2,"LTB",Feb 2002,"1","TBM2002020901",41.2,1
"2002",2,"LTB",Feb 2002,"1","TBM2002020907",1.4,1
"2002",2,"MTB",Feb 2002,"1","TBM2002020403",1.4,2
"2002",2,"MTB",Feb 2002,"1","TBM2002020501",7.41,3
"2002",2,"MTB",Feb 2002,"1","TBM2002020502",6.67,4
"2002",2,"MTB",Feb 2002,"1","TBM2002020508",0.68,1
"2002",2,"MTB",Feb 2002,"1","TBM2002020513",0.68,1
"2002",2,"MTB",Feb 2002,"1","TBM2002020515",7.41,2
"2002",2,"MTB",Feb 2002,"1","TBM2002020802",1.4,1
"2002",2,"MTB",Feb 2002,"1","TBM2002020804",41.2,2
"2002",2,"MTB",Feb 2002,"1","TBM2002020805",41.2,1
"2002",2,"MTB",Feb 2002,"1","TBM2002021103",41.2,5
"2002",2,"MTB",Feb 2002,"1","TBM2002021202",6.67,1
"2002",2,"MTB",Feb 2002,"1","TBM2002021203",4.45,1
"2002",2,"MTB",Feb 2002,"1","TBM2002021206",0.68,2
"2002",2,"MTB",Feb 2002,"1","TBM2002021214",7.41,2
"2002",2,"OTB",Feb 2002,"1","TBM2002020206",41.2,6
"2002",2,"OTB",Feb 2002,"1","TBM2002020207",1.4,3
"2002",3,"HB",Mar 2002,"1","TBM2002030602",22.09,3
"2002",3,"HB",Mar 2002,"1","TBM2002030706",41.2,8
"2002",3,"HB",Mar 2002,"1","TBM2002032203",0.68,1
"2002",3,"HB",Mar 2002,"1","TBM2002032215",0.68,4
"2002",3,"HB",Mar 2002,"1","TBM2002034403",8.15,4
"2002",3,"HB",Mar 2002,"1","TBM2002034407",7.41,26
"2002",3,"HB",Mar 2002,"1","TBM2002034610",1.4,3
"2002",3,"LTB",Mar 2002,"1","TBM2002030506",41.2,1
"2002",3,"LTB",Mar 2002,"1","TBM2002031002",22.09,2
"2002",3,"LTB",Mar 2002,"1","TBM2002031003",22.09,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030206",1.4,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030301",0.68,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030307",8.15,3
"2002",3,"MTB",Mar 2002,"1","TBM2002030310",0.68,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030313",8.15,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030314",5.93,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030401",0.68,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030405",8.15,4
"2002",3,"MTB",Mar 2002,"1","TBM2002030406",6.67,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030409",0.68,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030411",0.68,1
"2002",3,"MTB",Mar 2002,"1","TBM2002030413",5.93,1
"2002",3,"MTB",Mar 2002,"1","TBM2002031101",22.09,16
"2002",3,"MTB",Mar 2002,"1","TBM2002031105",22.09,15
"2002",3,"MTB",Mar 2002,"1","TBM2002031202",41.2,1
"2002",3,"MTB",Mar 2002,"1","TBM2002031205",41.2,8
"2002",3,"MTB",Mar 2002,"1","TBM2002031305",1.4,1
"2002",3,"OTB",Mar 2002,"1","TBM2002030104",41.2,2
"2002",3,"OTB",Mar 2002,"1","TBM2002030106",41.2,5
"2002",3,"OTB",Mar 2002,"1","TBM2002030903",41.2,2
"2002",4,"HB",Apr 2002,"2","TBM2002040902",41.2,7
"2002",4,"HB",Apr 2002,"2","TBM2002041003",22.09,17
"2002",4,"HB",Apr 2002,"2","TBM2002042118",0.68,3
"2002",4,"HB",Apr 2002,"2","TBM2002044203",5.93,4
"2002",4,"HB",Apr 2002,"2","TBM2002044206",6.67,5
"2002",4,"LTB",Apr 2002,"2","TBM2002040606",1.4,1
"2002",4,"LTB",Apr 2002,"2","TBM2002040801",41.2,12
"2002",4,"LTB",Apr 2002,"2","TBM2002040802",1.4,3
"2002",4,"LTB",Apr 2002,"2","TBM2002040804",41.2,1
"2002",4,"LTB",Apr 2002,"2","TBM2002041402",22.09,3
"2002",4,"LTB",Apr 2002,"2","TBM2002041403",22.09,2
"2002",4,"LTB",Apr 2002,"2","TBM2002041405",22.09,7
"2002",4,"MTB",Apr 2002,"2","TBM2002040102",41.2,1
"2002",4,"MTB",Apr 2002,"2","TBM2002040105",41.2,2
"2002",4,"MTB",Apr 2002,"2","TBM2002040201",7.41,1
"2002",4,"MTB",Apr 2002,"2","TBM2002040202",7.41,1
"2002",4,"MTB",Apr 2002,"2","TBM2002040214",7.41,5
"2002",4,"MTB",Apr 2002,"2","TBM2002040401",22.09,3
"2002",4,"MTB",Apr 2002,"2","TBM2002040406",22.09,1
"2002",4,"MTB",Apr 2002,"2","TBM2002040505",22.09,90
"2002",4,"MTB",Apr 2002,"2","TBM2002040601",41.2,1
"2002",4,"MTB",Apr 2002,"2","TBM2002040903",41.2,2
"2002",4,"MTB",Apr 2002,"2","TBM2002041103",1.4,2
"2002",4,"OTB",Apr 2002,"2","TBM2002040402",22.09,2
"2002",4,"OTB",Apr 2002,"2","TBM2002040701",41.2,5
"2002",4,"OTB",Apr 2002,"2","TBM2002041202",41.2,1
"2002",5,"HB",May 2002,"2","TBM2002050808",41.2,2
"2002",5,"HB",May 2002,"2","TBM2002054303",6.67,10
"2002",5,"HB",May 2002,"2","TBM2002054304",6.67,3
"2002",5,"LTB",May 2002,"2","TBM2002050201",22.09,1
"2002",5,"LTB",May 2002,"2","TBM2002050202",22.09,1
"2002",5,"LTB",May 2002,"2","TBM2002050205",22.09,1
"2002",5,"LTB",May 2002,"2","TBM2002050903",41.2,3
"2002",5,"LTB",May 2002,"2","TBM2002050904",1.4,1
"2002",5,"LTB",May 2002,"2","TBM2002050905",41.2,2
"2002",5,"MTB",May 2002,"2","TBM2002050102",0.68,2
"2002",5,"MTB",May 2002,"2","TBM2002050107",8.15,16
"2002",5,"MTB",May 2002,"2","TBM2002050108",8.15,3
"2002",5,"MTB",May 2002,"2","TBM2002050109",6.67,1
"2002",5,"MTB",May 2002,"2","TBM2002050706",7.41,2
"2002",5,"MTB",May 2002,"2","TBM2002050712",7.41,1
"2002",5,"MTB",May 2002,"2","TBM2002050715",7.41,1
"2002",5,"MTB",May 2002,"2","TBM2002051106",41.2,6
"2002",5,"OTB",May 2002,"2","TBM2002051002",41.2,1
"2002",5,"OTB",May 2002,"2","TBM2002051003",41.2,21
"2002",5,"OTB",May 2002,"2","TBM2002051005",41.2,10
"2002",5,"OTB",May 2002,"2","TBM2002051006",41.2,1
"2002",6,"HB",Jun 2002,"2","TBM2002060204",22.09,5
"2002",6,"LTB",Jun 2002,"2","TBM2002060104",22.09,4
"2002",6,"LTB",Jun 2002,"2","TBM2002060602",22.09,1
"2002",6,"LTB",Jun 2002,"2","TBM2002061105",41.2,1
"2002",6,"LTB",Jun 2002,"2","TBM2002061206",41.2,3
"2002",6,"MTB",Jun 2002,"2","TBM2002060102",22.09,1
"2002",6,"MTB",Jun 2002,"2","TBM2002060301",7.41,1
"2002",6,"MTB",Jun 2002,"2","TBM2002060313",7.41,1
"2002",6,"MTB",Jun 2002,"2","TBM2002060403",8.15,2
"2002",6,"MTB",Jun 2002,"2","TBM2002060411",7.41,1
"2002",6,"MTB",Jun 2002,"2","TBM2002060412",8.89,1
"2002",6,"MTB",Jun 2002,"2","TBM2002060704",22.09,1
"2002",6,"MTB",Jun 2002,"2","TBM2002060705",22.09,1
"2002",6,"MTB",Jun 2002,"2","TBM2002061104",41.2,1
"2002",6,"OTB",Jun 2002,"2","TBM2002060506",41.2,1
"2002",6,"OTB",Jun 2002,"2","TBM2002060902",41.2,1
"2002",7,"HB",Jul 2002,"4","TBM2002070103",41.2,1
"2002",7,"LTB",Jul 2002,"4","TBM2002070204",41.2,2
"2002",7,"LTB",Jul 2002,"4","TBM2002070504",41.2,3
"2002",7,"LTB",Jul 2002,"4","TBM2002070701",22.09,1
"2002",7,"LTB",Jul 2002,"4","TBM2002071202",41.2,1
"2002",7,"MTB",Jul 2002,"4","TBM2002070505",41.2,1
"2002",7,"MTB",Jul 2002,"4","TBM2002070601",22.09,2
"2002",7,"MTB",Jul 2002,"4","TBM2002070603",22.09,2
"2002",7,"MTB",Jul 2002,"4","TBM2002070702",22.09,1
"2002",7,"MTB",Jul 2002,"4","TBM2002070806",6.67,1
"2002",7,"MTB",Jul 2002,"4","TBM2002071001",1.4,1
"2002",7,"MTB",Jul 2002,"4","TBM2002071007",41.2,1
"2002",7,"MTB",Jul 2002,"4","TBM2002071115",0.68,1
"2002",7,"OTB",Jul 2002,"4","TBM2002070405",41.2,1
"2002",8,"HB",Aug 2002,"4","TBM2002082104",0.68,1
"2002",8,"LTB",Aug 2002,"4","TBM2002080502",41.2,7
"2002",8,"LTB",Aug 2002,"4","TBM2002080504",1.4,1
"2002",8,"LTB",Aug 2002,"4","TBM2002080604",22.09,3
"2002",8,"LTB",Aug 2002,"4","TBM2002080802",22.09,2
"2002",8,"LTB",Aug 2002,"4","TBM2002080803",22.09,9
"2002",8,"LTB",Aug 2002,"4","TBM2002080804",22.09,1
"2002",8,"LTB",Aug 2002,"4","TBM2002081205",41.2,2
"2002",8,"LTB",Aug 2002,"4","TBM2002081206",41.2,1
"2002",8,"MTB",Aug 2002,"4","TBM2002080302",8.89,1
"2002",8,"MTB",Aug 2002,"4","TBM2002080308",6.67,1
"2002",8,"MTB",Aug 2002,"4","TBM2002080605",22.09,1
"2002",8,"MTB",Aug 2002,"4","TBM2002080701",1.4,2
"2002",8,"OTB",Aug 2002,"4","TBM2002080406",41.2,1
"2002",9,"HB",Sep 2002,"4",NA,0,0
"2002",9,"LTB",Sep 2002,"4","TBM2002090701",22.09,1
"2002",9,"LTB",Sep 2002,"4","TBM2002090702",22.09,1
"2002",9,"LTB",Sep 2002,"4","TBM2002090801",41.2,1
"2002",9,"LTB",Sep 2002,"4","TBM2002090804",41.2,1
"2002",9,"MTB",Sep 2002,"4","TBM2002090110",7.41,2
"2002",9,"MTB",Sep 2002,"4","TBM2002090113",0.68,1
"2002",9,"MTB",Sep 2002,"4","TBM2002090309",8.15,2
"2002",9,"MTB",Sep 2002,"4","TBM2002090314",8.89,1
"2002",9,"MTB",Sep 2002,"4","TBM2002090905",1.4,1
"2002",9,"OTB",Sep 2002,"4",NA,0,0
"2002",10,"HB",Oct 2002,"3","TBM2002100702",1.4,1
"2002",10,"HB",Oct 2002,"3","TBM2002100705",41.2,1
"2002",10,"LTB",Oct 2002,"3","TBM2002101603",41.2,1
"2002",10,"MTB",Oct 2002,"3","TBM2002100301",6.67,2
"2002",10,"MTB",Oct 2002,"3","TBM2002100406",1.4,1
"2002",10,"MTB",Oct 2002,"3","TBM2002100608",7.41,2
"2002",10,"MTB",Oct 2002,"3","TBM2002100609",8.15,2
"2002",10,"MTB",Oct 2002,"3","TBM2002100610",6.67,1
"2002",10,"MTB",Oct 2002,"3","TBM2002101304",41.2,1
"2002",10,"MTB",Oct 2002,"3","TBM2002101604",41.2,4
"2002",10,"OTB",Oct 2002,"3",NA,0,0
"2002",11,"HB",Nov 2002,"3","TBM2002111003",41.2,1
"2002",11,"LTB",Nov 2002,"3","TBM2002110407",41.2,2
"2002",11,"LTB",Nov 2002,"3","TBM2002111205",22.09,2
"2002",11,"MTB",Nov 2002,"3","TBM2002110101",41.2,1
"2002",11,"MTB",Nov 2002,"3","TBM2002110103",41.2,1
"2002",11,"MTB",Nov 2002,"3","TBM2002110104",41.2,1
"2002",11,"MTB",Nov 2002,"3","TBM2002110303",0.68,1
"2002",11,"MTB",Nov 2002,"3","TBM2002110306",8.15,2
"2002",11,"MTB",Nov 2002,"3","TBM2002110901",1.4,1
"2002",11,"MTB",Nov 2002,"3","TBM2002110904",41.2,3
"2002",11,"MTB",Nov 2002,"3","TBM2002110905",41.2,1
"2002",11,"MTB",Nov 2002,"3","TBM2002111504",0.68,2
"2002",11,"MTB",Nov 2002,"3","TBM2002111505",7.41,1
"2002",11,"MTB",Nov 2002,"3","TBM2002111506",8.15,1
"2002",11,"MTB",Nov 2002,"3","TBM2002111508",8.15,1
"2002",11,"OTB",Nov 2002,"3","TBM2002110601",1.4,3
"2002",11,"OTB",Nov 2002,"3","TBM2002111307",41.2,1
"2002",11,"OTB",Nov 2002,"3","TBM2002111601",41.2,3
"2002",12,"HB",Dec 2002,"3","TBM2002121001",41.2,1
"2002",12,"HB",Dec 2002,"3","TBM2002121004",41.2,9
"2002",12,"HB",Dec 2002,"3","TBM2002121007",1.4,1
"2002",12,"HB",Dec 2002,"3","TBM2002124503",5.19,2
"2002",12,"LTB",Dec 2002,"3","TBM2002120107",41.2,1
"2002",12,"MTB",Dec 2002,"3","TBM2002120610",0.68,2
"2002",12,"MTB",Dec 2002,"3","TBM2002120704",7.41,3
"2002",12,"MTB",Dec 2002,"3","TBM2002120706",0.68,2
"2002",12,"MTB",Dec 2002,"3","TBM2002120707",0.68,1
"2002",12,"MTB",Dec 2002,"3","TBM2002120710",7.41,4
"2002",12,"MTB",Dec 2002,"3","TBM2002120713",0.68,1
"2002",12,"MTB",Dec 2002,"3","TBM2002121203",22.09,4
"2002",12,"OTB",Dec 2002,"3","TBM2002120804",41.2,1
"2003",1,"HB",Jan 2003,"1","TBM2003013205",0.68,1
"2003",1,"LTB",Jan 2003,"1","TBM2003010704",22.09,1
"2003",1,"MTB",Jan 2003,"1","TBM2003010107",1.4,1
"2003",1,"MTB",Jan 2003,"1","TBM2003010806",7.41,1
"2003",1,"MTB",Jan 2003,"1","TBM2003010810",0.68,1
"2003",1,"MTB",Jan 2003,"1","TBM2003010811",0.68,1
"2003",1,"MTB",Jan 2003,"1","TBM2003010813",0.68,1
"2003",1,"MTB",Jan 2003,"1","TBM2003011102",0.68,1
"2003",1,"MTB",Jan 2003,"1","TBM2003011106",0.68,2
"2003",1,"MTB",Jan 2003,"1","TBM2003011109",7.41,1
"2003",1,"MTB",Jan 2003,"1","TBM2003011110",0.68,1
"2003",1,"MTB",Jan 2003,"1","TBM2003011112",0.68,2
"2003",1,"OTB",Jan 2003,"1","TBM2003010603",1.4,1
"2003",1,"OTB",Jan 2003,"1","TBM2003011202",1.4,1
"2003",2,"HB",Feb 2003,"1","TBM2003023118",0.68,1
"2003",2,"HB",Feb 2003,"1","TBM2003024302",6.67,1
"2003",2,"HB",Feb 2003,"1","TBM2003024311",7.41,5
"2003",2,"LTB",Feb 2003,"1","TBM2003020102",22.09,4
"2003",2,"LTB",Feb 2003,"1","TBM2003020103",22.09,1
"2003",2,"LTB",Feb 2003,"1","TBM2003020106",22.09,33
"2003",2,"MTB",Feb 2003,"1","TBM2003020509",0.68,1
"2003",2,"MTB",Feb 2003,"1","TBM2003020510",0.68,1
"2003",2,"MTB",Feb 2003,"1","TBM2003021003",0.68,2
"2003",2,"MTB",Feb 2003,"1","TBM2003021005",5.93,1
"2003",2,"MTB",Feb 2003,"1","TBM2003021006",0.68,1
"2003",2,"MTB",Feb 2003,"1","TBM2003021007",0.68,1
"2003",2,"MTB",Feb 2003,"1","TBM2003021009",7.41,1
"2003",2,"MTB",Feb 2003,"1","TBM2003021011",0.68,1
"2003",2,"MTB",Feb 2003,"1","TBM2003021104",22.09,8
"2003",2,"OTB",Feb 2003,"1","TBM2003020205",1.4,1
"2003",2,"OTB",Feb 2003,"1","TBM2003020806",41.2,1
"2003",3,"HB",Mar 2003,"1","TBM2003030901",41.2,1
"2003",3,"HB",Mar 2003,"1","TBM2003030902",1.4,8
"2003",3,"HB",Mar 2003,"1","TBM2003030903",1.4,1
"2003",3,"LTB",Mar 2003,"1","TBM2003030105",22.09,1
"2003",3,"LTB",Mar 2003,"1","TBM2003030106",22.09,16
"2003",3,"LTB",Mar 2003,"1","TBM2003031008",1.4,2
"2003",3,"MTB",Mar 2003,"1","TBM2003030202",1.4,1
"2003",3,"MTB",Mar 2003,"1","TBM2003030203",41.2,1
"2003",3,"MTB",Mar 2003,"1","TBM2003030205",41.2,4
"2003",3,"MTB",Mar 2003,"1","TBM2003030405",22.09,1
"2003",3,"MTB",Mar 2003,"1","TBM2003030501",22.09,2
"2003",3,"MTB",Mar 2003,"1","TBM2003030611",7.41,1
