"Bay","Year","Month","Quarter","variable","n","mean","sd"
"HB","2002",1,"1","effort",7,2.703,2.988
"LTB","2002",1,"1","effort",2,11.745,14.63
"MTB","2002",1,"1","effort",18,6.504,9.203
"OTB","2002",1,"1","effort",1,0,NA
"HB","2003",1,"1","effort",1,0.68,NA
"LTB","2003",1,"1","effort",1,22.09,NA
"MTB","2003",1,"1","effort",10,2.098,2.809
"OTB","2003",1,"1","effort",2,1.4,0
"HB","2004",1,"1","effort",7,8.494,14.776
"LTB","2004",1,"1","effort",3,8.297,11.945
"MTB","2004",1,"1","effort",15,5.025,10.337
"OTB","2004",1,"1","effort",3,14.667,22.979
"HB","2005",1,"1","effort",9,5.229,5.682
"LTB","2005",1,"1","effort",1,1.4,NA
"MTB","2005",1,"1","effort",15,12.066,15.583
"OTB","2005",1,"1","effort",8,20.988,17.513
"HB","2006",1,"1","effort",4,12.97,3.756
"LTB","2006",1,"1","effort",4,18.06,16.673
"MTB","2006",1,"1","effort",22,10.86,15.24
"OTB","2006",1,"1","effort",5,25.522,14.315
"HB","2007",1,"1","effort",11,8.353,12.155
"LTB","2007",1,"1","effort",2,1.4,0
"MTB","2007",1,"1","effort",18,9.373,12.34
"OTB","2007",1,"1","effort",8,9.824,14.128
"HB","2008",1,"1","effort",8,8.73,13.928
"LTB","2008",1,"1","effort",1,0,NA
"MTB","2008",1,"1","effort",20,5.497,9.415
"OTB","2008",1,"1","effort",3,19.14,20.249
"HB","2009",1,"1","effort",5,6.052,5.609
"LTB","2009",1,"1","effort",1,1.4,NA
"MTB","2009",1,"1","effort",8,7.42,14.432
"OTB","2009",1,"1","effort",4,21.3,22.979
"HB","2010",1,"1","effort",9,3.744,4.964
"LTB","2010",1,"1","effort",2,1.4,0
"MTB","2010",1,"1","effort",10,13.653,19.116
"OTB","2010",1,"1","effort",1,1.4,NA
"HB","2011",1,"1","effort",16,10.164,13.406
"LTB","2011",1,"1","effort",1,1.4,NA
"MTB","2011",1,"1","effort",23,7.523,13.629
"OTB","2011",1,"1","effort",8,6.375,14.071
"HB","2012",1,"1","effort",7,3.659,5.216
"LTB","2012",1,"1","effort",5,27.816,18.867
"MTB","2012",1,"1","effort",22,11.568,15.241
"OTB","2012",1,"1","effort",8,11.222,13.7
"HB","2013",1,"1","effort",7,1.644,2.268
"LTB","2013",1,"1","effort",5,11.896,17.277
"MTB","2013",1,"1","effort",23,3.537,3.746
"OTB","2013",1,"1","effort",9,13.31,16.854
"HB","2014",1,"1","effort",9,10.803,13.066
"LTB","2014",1,"1","effort",2,8.485,10.02
"MTB","2014",1,"1","effort",10,3.51,4.764
"OTB","2014",1,"1","effort",2,1.4,0
"HB","2015",1,"1","effort",5,6.202,6.132
"LTB","2015",1,"1","effort",4,31.25,19.9
"MTB","2015",1,"1","effort",17,13.461,16.531
"OTB","2015",1,"1","effort",3,14.667,22.979
"HB","2016",1,"1","effort",6,6.512,6.815
"LTB","2016",1,"1","effort",2,28.01,18.653
"MTB","2016",1,"1","effort",12,3.038,4.425
"OTB","2016",1,"1","effort",7,14.689,18.762
"HB","2017",1,"1","effort",9,3.907,4.848
"LTB","2017",1,"1","effort",4,14.52,18.764
"MTB","2017",1,"1","effort",18,7.048,12.732
"OTB","2017",1,"1","effort",8,19.588,18.696
"HB","2002",2,"1","effort",6,6.612,8.227
"LTB","2002",2,"1","effort",2,21.3,28.143
"MTB","2002",2,"1","effort",14,12.033,16.039
"OTB","2002",2,"1","effort",2,21.3,28.143
"HB","2003",2,"1","effort",3,4.92,3.691
"LTB","2003",2,"1","effort",3,22.09,0
"MTB","2003",2,"1","effort",9,4.39,7.136
"OTB","2003",2,"1","effort",2,21.3,28.143
"HB","2004",2,"1","effort",6,2.8,3.293
"LTB","2004",2,"1","effort",9,17.317,13.437
"MTB","2004",2,"1","effort",22,8.449,12.277
"OTB","2004",2,"1","effort",7,12.771,19.42
"HB","2005",2,"1","effort",8,7.475,6.007
"LTB","2005",2,"1","effort",4,14.705,18.762
"MTB","2005",2,"1","effort",19,6.384,9.544
"OTB","2005",2,"1","effort",8,16.29,16.542
"HB","2006",2,"1","effort",4,8.877,6.227
"LTB","2006",2,"1","effort",10,17.292,17.472
"MTB","2006",2,"1","effort",31,9.398,13.175
"OTB","2006",2,"1","effort",10,23.363,15.88
"HB","2007",2,"1","effort",6,2.793,2.745
"LTB","2007",2,"1","effort",6,12.632,15.544
"MTB","2007",2,"1","effort",25,6.121,8.398
"OTB","2007",2,"1","effort",13,13.682,16.662
"HB","2008",2,"1","effort",6,5.153,5.516
"LTB","2008",2,"1","effort",1,0,NA
"MTB","2008",2,"1","effort",7,7.287,5.642
"OTB","2008",2,"1","effort",2,41.2,0
"HB","2009",2,"1","effort",5,10.274,17.518
"LTB","2009",2,"1","effort",3,18.893,20.332
"MTB","2009",2,"1","effort",16,9.01,13.431
"OTB","2009",2,"1","effort",3,19.14,20.249
"HB","2010",2,"1","effort",10,7.634,12.653
"LTB","2010",2,"1","effort",2,21.3,28.143
"MTB","2010",2,"1","effort",22,8.922,13.71
"OTB","2010",2,"1","effort",4,11.35,19.9
"HB","2011",2,"1","effort",9,3.743,5.022
"LTB","2011",2,"1","effort",6,10.27,16.075
"MTB","2011",2,"1","effort",24,4.656,4.75
"OTB","2011",2,"1","effort",9,11.736,17.273
"HB","2012",2,"1","effort",12,5.273,6.007
"LTB","2012",2,"1","effort",2,41.2,0
"MTB","2012",2,"1","effort",11,11.228,15.764
"OTB","2012",2,"1","effort",9,11.376,12.818
"HB","2013",2,"1","effort",10,3.584,4.683
"LTB","2013",2,"1","effort",8,11.409,13.772
"MTB","2013",2,"1","effort",24,5.45,8.537
"OTB","2013",2,"1","effort",10,14.655,15.329
"HB","2014",2,"1","effort",13,5.088,5.995
"LTB","2014",2,"1","effort",1,41.2,NA
"MTB","2014",2,"1","effort",15,6.915,10.337
"OTB","2014",2,"1","effort",2,5.145,5.296
"HB","2015",2,"1","effort",10,6.194,6.472
"LTB","2015",2,"1","effort",3,1.4,0
"MTB","2015",2,"1","effort",14,3.457,3.235
"OTB","2015",2,"1","effort",6,10.147,16.036
"HB","2016",2,"1","effort",8,4.215,4.815
"LTB","2016",2,"1","effort",3,5.38,6.894
"MTB","2016",2,"1","effort",21,5.131,9.067
"OTB","2016",2,"1","effort",7,11.027,14.823
"HB","2017",2,"1","effort",13,7.288,11.506
"LTB","2017",2,"1","effort",6,23.662,19.897
"MTB","2017",2,"1","effort",15,7.961,10.006
"OTB","2017",2,"1","effort",8,12.9,13.136
"HB","2002",3,"1","effort",7,11.659,15.045
"LTB","2002",3,"1","effort",3,28.46,11.033
"MTB","2002",3,"1","effort",17,10.339,13.402
"OTB","2002",3,"1","effort",3,41.2,0
"HB","2003",3,"1","effort",3,14.667,22.979
"LTB","2003",3,"1","effort",3,15.193,11.945
"MTB","2003",3,"1","effort",14,17.718,16.728
"OTB","2003",3,"1","effort",3,21.563,19.905
"HB","2004",3,"1","effort",4,4.045,3.886
