"Year","Month","Season","Location","Station","Traps","Crabs","CPUE"
2006,10,"4","TB","AMI",5,36,7.2
2006,10,"4","TB","BNP",5,45,9
2006,10,"4","TB","PSK",5,33,6.6
2006,10,"4","TB","RSK",5,44,8.8
2006,11,"4","TB","AMI",10,67,6.7
2006,11,"4","TB","BNP",10,59,5.9
2006,11,"4","TB","PSK",10,62,6.2
2006,11,"4","TB","RSK",11,78,7.09090909090909
2006,12,"4","TB","AMI",10,33,3.3
2006,12,"4","TB","BNP",10,60,6
2006,12,"4","TB","PSK",9,54,6
2006,12,"4","TB","RSK",10,64,6.4
2007,1,"1","TB","AMI",13,46,3.53846153846154
2007,1,"1","TB","BNP",15,64,4.26666666666667
2007,1,"1","TB","PSK",13,69,5.30769230769231
2007,1,"1","TB","RSK",15,77,5.13333333333333
2007,2,"1","TB","AMI",9,50,5.55555555555556
2007,2,"1","TB","BNP",10,76,7.6
2007,2,"1","TB","PSK",10,42,4.2
2007,2,"1","TB","RSK",10,94,9.4
2007,3,"1","TB","AMI",10,66,6.6
2007,3,"1","TB","BNP",9,78,8.66666666666667
2007,3,"1","TB","PSK",10,73,7.3
2007,3,"1","TB","RSK",10,89,8.9
2007,4,"2","TB","AMI",8,29,3.625
2007,4,"2","TB","BNP",9,71,7.88888888888889
2007,4,"2","TB","PSK",10,64,6.4
2007,4,"2","TB","RSK",10,63,6.3
2007,5,"2","TB","AMI",4,13,3.25
2007,5,"2","TB","BNP",5,31,6.2
2007,5,"2","TB","PSK",5,30,6
2007,5,"2","TB","RSK",5,58,11.6
2007,6,"2","TB","AMI",10,78,7.8
2007,6,"2","TB","BNP",10,69,6.9
2007,6,"2","TB","PSK",8,52,6.5
2007,6,"2","TB","RSK",10,82,8.2
2007,7,"3","TB","AMI",11,42,3.81818181818182
2007,7,"3","TB","BNP",10,50,5
2007,7,"3","TB","PSK",10,67,6.7
2007,7,"3","TB","RSK",10,72,7.2
2007,8,"3","TB","AMI",15,43,2.86666666666667
2007,8,"3","TB","BNP",15,88,5.86666666666667
2007,8,"3","TB","PSK",15,76,5.06666666666667
2007,8,"3","TB","RSK",15,78,5.2
2007,9,"3","TB","AMI",9,36,4
2007,9,"3","TB","BNP",9,53,5.88888888888889
2007,9,"3","TB","PSK",7,37,5.28571428571429
