Date,Location,Station,Trap_Number,Number_Crabs,Temperature,Salinity,Month,Day,Year,MonYr,Season
10/30/2006,TB,AMI,255,9,22,34,10,30,2006,6-Oct,4
10/30/2006,TB,AMI,214,8,22,34,10,30,2006,6-Oct,4
10/30/2006,TB,AMI,285,2,22,34,10,30,2006,6-Oct,4
10/30/2006,TB,AMI,506,9,22,34,10,30,2006,6-Oct,4
10/30/2006,TB,AMI,204,8,22,34,10,30,2006,6-Oct,4
10/30/2006,TB,BNP,528,11,22,31,10,30,2006,6-Oct,4
10/30/2006,TB,BNP,229,10,22,31,10,30,2006,6-Oct,4
10/30/2006,TB,BNP,283,9,22,31,10,30,2006,6-Oct,4
10/30/2006,TB,BNP,287,8,22,31,10,30,2006,6-Oct,4
10/30/2006,TB,BNP,213,7,22,31,10,30,2006,6-Oct,4
10/30/2006,TB,PSK,275,7,22,32,10,30,2006,6-Oct,4
10/30/2006,TB,PSK,524,6,22,32,10,30,2006,6-Oct,4
10/30/2006,TB,PSK,534,7,22,32,10,30,2006,6-Oct,4
10/30/2006,TB,PSK,583,6,22,32,10,30,2006,6-Oct,4
10/30/2006,TB,PSK,278,7,22,32,10,30,2006,6-Oct,4
10/30/2006,TB,RSK,517,9,22,30,10,30,2006,6-Oct,4
10/30/2006,TB,RSK,529,9,22,30,10,30,2006,6-Oct,4
10/30/2006,TB,RSK,539,10,22,30,10,30,2006,6-Oct,4
10/30/2006,TB,RSK,504,8,22,30,10,30,2006,6-Oct,4
10/30/2006,TB,RSK,516,8,22,30,10,30,2006,6-Oct,4
11/15/2006,TB,AMI,506,8,21.8,35.1,11,15,2006,6-Nov,4
11/15/2006,TB,AMI,214,5,21.8,35.1,11,15,2006,6-Nov,4
11/15/2006,TB,AMI,255,8,21.8,35.1,11,15,2006,6-Nov,4
11/15/2006,TB,AMI,285,6,21.8,35.1,11,15,2006,6-Nov,4
11/15/2006,TB,AMI,204,7,21.8,35.1,11,15,2006,6-Nov,4
11/15/2006,TB,BNP,528,8,21.6,33.8,11,15,2006,6-Nov,4
11/15/2006,TB,BNP,229,7,21.6,33.8,11,15,2006,6-Nov,4
11/15/2006,TB,BNP,583,5,21.6,33.8,11,15,2006,6-Nov,4
11/15/2006,TB,BNP,287,7,21.6,33.8,11,15,2006,6-Nov,4
11/15/2006,TB,BNP,213,4,21.6,33.8,11,15,2006,6-Nov,4
11/15/2006,TB,PSK,275,8,21.1,34.1,11,15,2006,6-Nov,4
11/15/2006,TB,PSK,524,6,21.1,34.1,11,15,2006,6-Nov,4
11/15/2006,TB,PSK,534,8,21.1,34.1,11,15,2006,6-Nov,4
11/15/2006,TB,PSK,583,10,21.1,34.1,11,15,2006,6-Nov,4
11/15/2006,TB,RSK,504,9,21.8,32.3,11,15,2006,6-Nov,4
11/15/2006,TB,RSK,516,5,21.8,32.3,11,15,2006,6-Nov,4
11/15/2006,TB,RSK,517,8,21.8,32.3,11,15,2006,6-Nov,4
11/15/2006,TB,RSK,539,5,21.8,32.3,11,15,2006,6-Nov,4
11/15/2006,TB,RSK,529,4,21.8,32.3,11,15,2006,6-Nov,4
11/15/2006,TB,PSK,278,0,21.1,34.1,11,15,2006,6-Nov,4
11/30/2006,TB,AMI,506,5,19.6,34.9,11,30,2006,6-Nov,4
11/30/2006,TB,AMI,225,6,19.6,34.9,11,30,2006,6-Nov,4
11/30/2006,TB,AMI,285,10,19.6,34.9,11,30,2006,6-Nov,4
11/30/2006,TB,AMI,204,4,19.6,34.9,11,30,2006,6-Nov,4
11/30/2006,TB,AMI,214,8,19.6,34.9,11,30,2006,6-Nov,4
11/30/2006,TB,BNP,528,7,20.8,33.2,11,30,2006,6-Nov,4
11/30/2006,TB,BNP,229,3,20.8,33.2,11,30,2006,6-Nov,4
11/30/2006,TB,BNP,287,8,20.8,33.2,11,30,2006,6-Nov,4
11/30/2006,TB,BNP,583,4,20.8,33.2,11,30,2006,6-Nov,4
11/30/2006,TB,BNP,213,6,20.8,33.2,11,30,2006,6-Nov,4
11/30/2006,TB,PSK,275,9,20.2,33.8,11,30,2006,6-Nov,4
11/30/2006,TB,PSK,534,2,20.2,33.8,11,30,2006,6-Nov,4
11/30/2006,TB,PSK,524,7,20.2,33.8,11,30,2006,6-Nov,4
11/30/2006,TB,PSK,583,10,20.2,33.8,11,30,2006,6-Nov,4
11/30/2006,TB,PSK,278,2,20.2,33.8,11,30,2006,6-Nov,4
11/30/2006,TB,RSK,517,10,20.5,32.3,11,30,2006,6-Nov,4
11/30/2006,TB,RSK,529,6,20.5,32.3,11,30,2006,6-Nov,4
11/30/2006,TB,RSK,531,9,20.5,32.3,11,30,2006,6-Nov,4
11/30/2006,TB,RSK,516,10,20.5,32.3,11,30,2006,6-Nov,4
11/30/2006,TB,RSK,504,8,20.5,32.3,11,30,2006,6-Nov,4
11/30/2006,TB,RSK,357,4,20.5,32.3,11,30,2006,6-Nov,4
12/6/2006,TB,AMI,285,7,19.4,34.7,12,6,2006,6-Dec,4
