Site,Date,Month,Year,MonYr,Station,Location,Latitude,Longitude,Time,Depth,Temp,Sal,DO_mg/l,DO,Sampling_Depth,Secchi,Per_Secchi
TB,8/5/2002,8,2002,8/2002,1,Indian Key,27.69983333,-82.69508333,13:26,1.5,31.6,33,Z,Z,Surface,1.5,100
TB,8/5/2002,8,2002,8/2002,2,Tarpon Key,27.66,-82.68733333,12:54,2,31.2,33.2,Z,Z,Surface,1.5,75
TB,8/28/2002,8,2002,8/2002,1,Indian Key,27.69983333,-82.69508333,9:21,1.75,28.8,35.5,Z,Z,Surface,1.5,85.7
TB,8/28/2002,8,2002,8/2002,2,Tarpon Key,27.66,-82.68733333,8:39,2,28.7,33.8,Z,Z,Surface,1.5,75
TB,9/18/2002,9,2002,9/2002,1,Indian Key,27.69983333,-82.69508333,9:49,1.5,29.4,30.2,Z,Z,Surface,1.5,100
TB,9/18/2002,9,2002,9/2002,2,Tarpon Key,27.66,-82.68733333,9:10,2.25,29.6,28.5,Z,Z,Surface,2,88.9
TB,10/7/2002,10,2002,10/2002,1,Indian Key,27.69983333,-82.69508333,10:15,1,28.4,28.4,Z,Z,Surface,1,100
TB,10/7/2002,10,2002,10/2002,2,Tarpon Key,27.66,-82.68733333,9:41,1.5,28.4,31.1,Z,Z,Surface,1.25,83.3
TB,11/6/2002,11,2002,11/2002,2,Indian Key,27.69903333,-82.69238333,9:44,1.25,25.2,28.4,Z,Z,Surface,1,80
TB,11/6/2002,11,2002,11/2002,5,Tarpon Key,27.66063333,-82.691,9:08,2,25.4,Z,Z,Z,Surface,1.75,87.5
TB,11/25/2002,11,2002,11/2002,2,Indian Key,27.69903333,-82.69238333,9:30,0.6,17.9,25.6,Z,Z,Surface,0.6,100
TB,11/25/2002,11,2002,11/2002,5,Tarpon Key,27.66063333,-82.691,8:50,1.2,17.2,21.7,Z,Z,Surface,1.2,100
TB,12/19/2002,12,2002,12/2002,2,Indian Key,27.69903333,-82.69238333,14:06,1.7,18.2,26.8,Z,Z,Surface,1.4,82.4
TB,12/19/2002,12,2002,12/2002,5,Tarpon Key,27.66063333,-82.691,13:30,1,17.6,26.6,Z,Z,Surface,0.6,60
TB,1/9/2003,1,2003,1/2003,2,Indian Key,27.69903333,-82.69238333,14:02,1.5,17.7,26,Z,Z,Surface,1.5,100
TB,1/9/2003,1,2003,1/2003,5,Tarpon Key,27.66063333,-82.691,13:15,2.5,16.5,25.1,Z,Z,Surface,2.5,100
TB,1/27/2003,1,2003,1/2003,2,Indian Key,27.69903333,-82.69238333,9:05,0.75,12.2,26.1,Z,Z,Surface,0.75,100
TB,1/27/2003,1,2003,1/2003,5,Tarpon Key,27.66063333,-82.691,9:35,2,12.3,23.9,Z,Z,Surface,1.5,75
TB,2/17/2003,2,2003,2/2003,2,Indian Key,27.69903333,-82.69238333,10:25,0.75,Z,Z,Z,Z,Surface,0.75,100
TB,2/17/2003,2,2003,2/2003,5,Tarpon Key,27.66063333,-82.691,9:58,1.5,Z,Z,Z,Z,Surface,1.5,100
TB,3/12/2003,3,2003,3/2003,2,Indian Key,27.69903333,-82.69238333,10:09,1.2,23.5,29.4,Z,Z,Surface,1.2,100
TB,3/12/2003,3,2003,3/2003,5,Tarpon Key,27.66063333,-82.691,9:24,1.8,23.4,Z,Z,Z,Surface,1.8,100
TB,4/22/2003,4,2003,4/2003,2,Indian Key,27.69903333,-82.69238333,8:45,1.25,24.3,30.4,Z,Z,Surface,1.25,100
TB,4/22/2003,4,2003,4/2003,5,Tarpon Key,27.66063333,-82.691,8:15,2,24.4,30.9,Z,Z,Surface,1.25,62.5
TB,5/12/2003,5,2003,5/2003,2,Indian Key,27.69903333,-82.69238333,9:44,1.25,29.2,30.3,Z,Z,Surface,1.25,100
TB,5/12/2003,5,2003,5/2003,5,Tarpon Key,27.66063333,-82.691,9:11,2,29.2,30.1,Z,Z,Surface,2,100
TB,6/3/2003,6,2003,6/2003,2,Indian Key,27.69903333,-82.69238333,15:08,1,30,33,Z,Z,Surface,1,100
TB,6/3/2003,6,2003,6/2003,5,Tarpon Key,27.66063333,-82.691,14:46,2.1,30.1,33,Z,Z,Surface,1.3,61.9
TB,7/2/2003,7,2003,7/2003,2,Indian Key,27.69903333,-82.69238333,9:25,1,29.4,26.1,Z,Z,Surface,Z,Z
TB,7/2/2003,7,2003,7/2003,5,Tarpon Key,27.66063333,-82.691,8:55,2.25,29.2,26.4,Z,Z,Surface,Z,Z
TB,7/24/2003,7,2003,7/2003,2,Indian Key,27.69903333,-82.69238333,13:59,1.3,31.8,24.8,Z,Z,Surface,1.3,100
TB,7/24/2003,7,2003,7/2003,5,Tarpon Key,27.66063333,-82.691,13:29,1.9,31.6,24.7,Z,Z,Surface,1.5,78.9
TB,8/13/2003,8,2003,8/2003,2,Indian Key,27.69903333,-82.69238333,9:25,1.2,28.1,25,Z,Z,Surface,1.2,100
TB,8/13/2003,8,2003,8/2003,5,Tarpon Key,27.66063333,-82.691,8:45,2.1,27.8,26,Z,Z,Surface,1.5,71.4
TB,9/11/2003,9,2003,9/2003,2,Indian Key,27.69903333,-82.69238333,14:32,1.3,31,27,Z,Z,Surface,1.3,100
TB,9/11/2003,9,2003,9/2003,5,Tarpon Key,27.66063333,-82.691,13:54,2.5,29.5,26,Z,Z,Surface,2.3,92
TB,10/1/2003,10,2003,10/2003,2,Indian Key,27.69903333,-82.69238333,9:40,0.75,26.2,27.2,Z,Z,Surface,0.75,100
TB,10/1/2003,10,2003,10/2003,5,Tarpon Key,27.66063333,-82.691,9:05,2,25,25.9,Z,Z,Surface,2,100
TB,10/28/2003,10,2003,10/2003,2,Indian Key,27.69903333,-82.69238333,9:00,1,25.8,29.8,Z,Z,Surface,1,100
TB,10/28/2003,10,2003,10/2003,5,Tarpon Key,27.66063333,-82.691,8:35,1.75,25.8,29.8,Z,Z,Surface,1.75,100
TB,11/25/2003,11,2003,11/2003,2,Indian Key,27.69903333,-82.69238333,15:10,1.5,22.1,30.5,Z,Z,Surface,1.3,86.7
TB,11/25/2003,11,2003,11/2003,5,Tarpon Key,27.66063333,-82.691,14:49,2.2,22.1,30.3,Z,Z,Surface,2,90.9
TB,12/18/2003,12,2003,12/2003,2,Indian Key,27.69903333,-82.69238333,14:40,1.5,16.5,30.3,Z,Z,Surface,1,66.7
TB,12/18/2003,12,2003,12/2003,5,Tarpon Key,27.66063333,-82.691,14:00,1.8,15.9,30.6,Z,Z,Surface,1,55.6
TB,1/15/2004,1,2004,1/2004,2,Indian Key,27.69903333,-82.69238333,14:50,1,16.8,31.6,Z,Z,Surface,1,100
TB,1/15/2004,1,2004,1/2004,5,Tarpon Key,27.66063333,-82.691,13:59,1.8,15.8,31,Z,Z,Surface,1.7,94.4
TB,1/29/2004,1,2004,1/2004,2,Indian Key,27.69903333,-82.69238333,13:58,1.3,16.5,31.3,Z,Z,Surface,1.3,100
TB,1/29/2004,1,2004,1/2004,5,Tarpon Key,27.66063333,-82.691,13:35,2,15.6,31.1,Z,Z,Surface,2,100
TB,2/19/2004,2,2004,2/2004,2,Indian Key,27.69903333,-82.69238333,8:47,0.3,15.1,31.8,Z,Z,Surface,0.3,100
TB,2/19/2004,2,2004,2/2004,5,Tarpon Key,27.66063333,-82.691,8:25,1.2,15.4,30,Z,Z,Surface,1.3,108.3
TB,3/17/2004,3,2004,3/2004,2,Indian Key,27.69903333,-82.69238333,8:23,0.9,20.2,29.8,Z,Z,Surface,0.9,100
TB,3/17/2004,3,2004,3/2004,5,Tarpon Key,27.66063333,-82.691,7:55,1.5,20.5,29.3,Z,Z,Surface,1.5,100
TB,3/30/2004,3,2004,3/2004,2,Indian Key,27.69903333,-82.69238333,9:25,0.9,21.1,29.1,Z,Z,Surface,0.9,100
TB,3/30/2004,3,2004,3/2004,5,Tarpon Key,27.66063333,-82.691,8:40,1.65,21.4,29.6,Z,Z,Surface,1,60.6
TB,4/19/2004,4,2004,4/2004,2,Indian Key,27.69903333,-82.69238333,13:50,1.2,21.9,30.9,Z,Z,Surface,1,83.3
TB,4/19/2004,4,2004,4/2004,5,Tarpon Key,27.66063333,-82.691,13:00,2.1,22.1,30.4,Z,Z,Surface,1.25,59.5
TB,5/14/2004,5,2004,5/2004,2,Indian Key,27.69903333,-82.69238333,10:08,1,25.3,29.8,Z,Z,Surface,1,100
TB,5/14/2004,5,2004,5/2004,5,Tarpon Key,27.66063333,-82.691,9:45,2,25.1,Z,Z,Z,Surface,2,100
TB,6/4/2004,6,2004,6/2004,2,Indian Key,27.69903333,-82.69238333,10:05,1.5,30,Z,Z,Z,Surface,Z,Z
TB,6/4/2004,6,2004,6/2004,5,Tarpon Key,27.66063333,-82.691,9:29,2.3,32,Z,Z,Z,Surface,Z,Z
TB,6/30/2004,6,2004,6/2004,2,Indian Key,27.69903333,-82.69238333,9:37,1.4,30,32.8,Z,Z,Surface,Z,Z
TB,6/30/2004,6,2004,6/2004,5,Tarpon Key,27.66063333,-82.691,8:57,2.1,30.5,Z,Z,Z,Surface,Z,Z
TB,7/21/2004,7,2004,7/2004,2,Indian Key,27.69903333,-82.69238333,11:11,0.9,28,31.4,Z,Z,Surface,0.9,100
TB,7/21/2004,7,2004,7/2004,5,Tarpon Key,27.66063333,-82.691,10:49,1.8,28,30.8,Z,Z,Surface,1.8,100
TB,8/19/2004,8,2004,8/2004,1,Indian Key,27.69983333,-82.69508333,13:47,1.35,28.9,31,Z,Z,Surface,1.35,100
TB,8/19/2004,8,2004,8/2004,2,Tarpon Key,27.69903333,-82.69238333,8:14,0.9,29.4,28.4,Z,Z,Surface,0.75,83.3
TB,9/9/2004,9,2004,9/2004,1,Indian Key,27.69983333,-82.69508333,7:54,1.2,28.3,25.7,Z,Z,Surface,1.2,100
TB,9/9/2004,9,2004,9/2004,2,Tarpon Key,27.69903333,-82.69238333,8:17,1.35,28.2,23.6,Z,Z,Surface,1.35,100
TB,9/30/2004,9,2004,9/2004,1,Indian Key,27.69983333,-82.69508333,8:44,0.75,27.5,29.2,Z,Z,Surface,0.75,100
TB,9/30/2004,9,2004,9/2004,2,Tarpon Key,27.69903333,-82.69238333,9:01,0.5,27.8,27.8,Z,Z,Surface,0.5,100
TB,10/21/2004,10,2004,10/2004,1,Indian Key,27.6997,-82.6955,8:26,1.75,26.8,29.8,Z,Z,Surface,1,57.1
TB,10/21/2004,10,2004,10/2004,2,Tarpon Key,27.6593,-82.69278333,8:44,1.5,26.3,28.3,Z,Z,Surface,1.25,83.3
